Designator,Mid X,Mid Y,Layer,Rotation
C1,14.6100mm,22.2300mm,Top,0
C2,7.6200mm,24.7700mm,Top,180
C3,7.6200mm,21.5900mm,Top,180
C4,7.6200mm,27.9400mm,Top,180
D1,19.6900mm,24.7700mm,Top,90
D2,4.4500mm,2.5400mm,Top,180
IC1,15.1300mm,26.6700mm,Top,90
J2,11.4300mm,8.2600mm,Top,0
PWR,16.5100mm,2.5400mm,Top,270
R1,11.4300mm,2.5400mm,Top,180
R2,20.3200mm,8.8900mm,Top,90
S1,14.6100mm,16.5100mm,Top,270
U1,7.6200mm,15.8800mm,Top,270
USER,20.3200mm,3.1800mm,Top,180
