Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Core Processor,Core Size,Speed,Connectivity,Peripherals,Number of I/O,Program Memory Size,Program Memory Type,EEPROM Size,RAM Size,Voltage - Supply (Vcc/Vdd),Data Converters,Oscillator Type,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
DSPIC33FJ32MC202-I/SP-ND,DSPIC33FJ32MC202-I/SP,Microchip Technology,IC MCU 16BIT 32KB FLASH 28SDIP,183,0,3.93,0,1,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,32KB (32K x 8),FLASH,-,2K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
DSPIC33FJ32MC202-E/SP-ND,DSPIC33FJ32MC202-E/SP,Microchip Technology,IC MCU 16BIT 32KB FLASH 28SDIP,0,0,3.5741,0,195,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,32KB (32K x 8),FLASH,-,2K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
DSPIC33FJ32GP302-I/SP-ND,DSPIC33FJ32GP302-I/SP,Microchip Technology,IC MCU 16BIT 32KB FLASH 28SDIP,0,0,3.40929,0,210,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DCI, DMA, I²S, POR, PWM, WDT",21,32KB (32K x 8),FLASH,-,4K x 8,3V ~ 3.6V,A/D 10x10b/12b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
DSPIC33FJ32GP302-E/SP-ND,DSPIC33FJ32GP302-E/SP,Microchip Technology,IC MCU 16BIT 32KB FLASH 28SDIP,0,0,3.73889,0,180,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DCI, DMA, I²S, POR, PWM, WDT",21,32KB (32K x 8),FLASH,-,4K x 8,3V ~ 3.6V,A/D 10x10b/12b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
DSPIC33FJ32GP202-I/SP-ND,DSPIC33FJ32GP202-I/SP,Microchip Technology,IC MCU 16BIT 32KB FLASH 28SDIP,118,0,3.83,0,1,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DCI, DMA, I²S, POR, PWM, WDT",21,32KB (32K x 8),FLASH,-,2K x 8,3V ~ 3.6V,A/D 10x10b/12b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
DSPIC33FJ32GP202-E/SP-ND,DSPIC33FJ32GP202-E/SP,Microchip Technology,IC MCU 16BIT 32KB FLASH 28SDIP,0,0,3.48138,0,195,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DCI, DMA, I²S, POR, PWM, WDT",21,32KB (32K x 8),FLASH,-,2K x 8,3V ~ 3.6V,A/D 10x10b/12b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
DSPIC33FJ128MC802-I/SP-ND,DSPIC33FJ128MC802-I/SP,Microchip Technology,IC MCU 16BIT 128KB FLASH 28SDIP,85,0,5.61,0,1,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"CANbus, I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,128KB (128K x 8),FLASH,-,16K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
DSPIC33FJ128MC802-E/SP-ND,DSPIC33FJ128MC802-E/SP,Microchip Technology,IC MCU 16BIT 128KB FLASH 28SDIP,87,0,6.16,0,1,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"CANbus, I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,128KB (128K x 8),FLASH,-,16K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
DSPIC33FJ128MC202-I/SP-ND,DSPIC33FJ128MC202-I/SP,Microchip Technology,IC MCU 16BIT 128KB FLASH 28SDIP,0,0,4.36721,0,165,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,128KB (128K x 8),FLASH,-,8K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
DSPIC33FJ128MC202-E/SP-ND,DSPIC33FJ128MC202-E/SP,Microchip Technology,IC MCU 16BIT 128KB FLASH 28SDIP,0,0,4.78953,0,150,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,128KB (128K x 8),FLASH,-,8K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
