Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Core Processor,Core Size,Speed,Connectivity,Peripherals,Number of I/O,Program Memory Size,Program Memory Type,EEPROM Size,RAM Size,Voltage - Supply (Vcc/Vdd),Data Converters,Oscillator Type,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
PIC18LF25K42-E/SP-ND,PIC18LF25K42-E/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,0,0,1.74069,0,390,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,32KB (16K x 16),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18LF25K42-I/SP-ND,PIC18LF25K42-I/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28DIP,0,0,1.59651,0,435,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,32KB (16K x 16),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18LF25J11-I/SP-ND,PIC18LF25J11-I/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,291,0,2.78,0,1,Tube,PIC® XLP™ 18J,Active,PIC,8-Bit,48MHz,"I²C, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",16,32KB (16K x 16),FLASH,-,3.8K x 8,2V ~ 3.6V,A/D 10x10b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18LF25J10-I/SP-ND,PIC18LF25J10-I/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,32,0,2.13,0,1,Tube,PIC® 18J,Active,PIC,8-Bit,40MHz,"I²C, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",21,32KB (16K x 16),FLASH,-,1K x 8,2V ~ 3.6V,A/D 10x10b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
PIC18LF24K50-E/SP-ND,PIC18LF24K50-E/SP,Microchip Technology,IC MCU 8BIT 16KB FLASH 28SDIP,0,0,2.3381,0,300,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,48MHz,"I²C, SPI, UART/USART, USB","Brown-out Detect/Reset, POR, PWM, WDT",25,16KB (8K x 16),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 14x10b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
PIC18LF24K50-I/SP-ND,PIC18LF24K50-I/SP,Microchip Technology,IC MCU 8BIT 16KB FLASH 28SDIP,0,0,2.14241,0,315,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,48MHz,"I²C, SPI, UART/USART, USB","Brown-out Detect/Reset, POR, PWM, WDT",25,16KB (8K x 16),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 14x10b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18LF24K42-E/SP-ND,PIC18LF24K42-E/SP,Microchip Technology,IC MCU 8BIT 16KB FLASH 28SDIP,0,0,1.648,0,420,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,16KB (8K x 16),FLASH,256 x 8,1K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18LF24K42-I/SP-ND,PIC18LF24K42-I/SP,Microchip Technology,IC MCU 8BIT 16KB FLASH 28SDIP,0,0,1.51411,0,450,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,16KB (8K x 16),FLASH,256 x 8,1K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
PIC18LF24J11-I/SP-ND,PIC18LF24J11-I/SP,Microchip Technology,IC MCU 8BIT 16KB FLASH 28SDIP,288,0,2.59,0,1,Tube,PIC® XLP™ 18J,Active,PIC,8-Bit,48MHz,"I²C, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",16,16KB (8K x 16),FLASH,-,3.8K x 8,2V ~ 3.6V,A/D 10x10b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
PIC18LF24J10-I/SP-ND,PIC18LF24J10-I/SP,Microchip Technology,IC MCU 8BIT 16KB FLASH 28SDIP,37,0,2.03,0,1,Tube,PIC® 18J,Active,PIC,8-Bit,40MHz,"I²C, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",21,16KB (8K x 16),FLASH,-,1K x 8,2V ~ 3.6V,A/D 10x10b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18F47Q10-I/P-ND,PIC18F47Q10-I/P,Microchip Technology,128KB FLASH 3.6KB RAM 1024B EEPR,692,0,1.85,0,1,Tube,PIC® XLP™ 18Q,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, HLVD, POR, PWM, WDT",36,128KB (128K x 8),FLASH,1K x 8,3.53K x 8,1.8V ~ 5.5V,A/D 35x10b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",28-SPDIP
PIC18F47K42-E/P-ND,PIC18F47K42-E/P,Microchip Technology,IC MCU 8BIT 128KB FLASH 40DIP,411,0,2.79,0,1,Tube,PIC® XLP™ 18F,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",36,128KB (64K x 16),FLASH,1K x 8,8K x 8,2.3V ~ 5.5V,A/D 35x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",40-PDIP
PIC18F47K42-I/P-ND,PIC18F47K42-I/P,Microchip Technology,IC MCU 8BIT 128KB FLASH 40DIP,343,0,2.56,0,1,Tube,PIC® XLP™ 18F,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",36,128KB (64K x 16),FLASH,1K x 8,8K x 8,2.3V ~ 5.5V,A/D 35x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",28-SPDIP
PIC18F46Q10-E/P-ND,PIC18F46Q10-E/P,Microchip Technology,64KB FLASH 3.6KB RAM 1024B EEPRO,720,0,1.79,0,1,Tube,PIC® XLP™ 18Q,Active,PIC,8-Bit,16MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",36,64KB (64K x 8),FLASH,1K x 8,3.53K x 8,1.8V ~ 5.5V,A/D 35x10b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",28-SPDIP
PIC18F46Q10-I/P-ND,PIC18F46Q10-I/P,Microchip Technology,64KB FLASH 3.6KB RAM 1024B EEPRO,780,0,1.72,0,1,Tube,PIC® XLP™ 18Q,Active,PIC,8-Bit,16MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",36,64KB (64K x 8),FLASH,1K x 8,3.53K x 8,1.8V ~ 5.5V,A/D 35x10b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",40-PDIP
PIC18F45Q10-E/P-ND,PIC18F45Q10-E/P,Microchip Technology,32KB FLASH 2KB RAM 256B EEPROM 1,759,0,1.72,0,1,Tube,PIC® XLP™ 18Q,Active,PIC,8-Bit,16MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",36,32KB (32K x 8),FLASH,256 x 8,2.25K x 8,1.8V ~ 5.5V,A/D 35x10b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",40-PDIP
PIC18F45Q10-I/P-ND,PIC18F45Q10-I/P,Microchip Technology,32KB FLASH 2KB RAM 256B EEPROM 1,816,0,1.65,0,1,Tube,PIC® XLP™ 18Q,Active,PIC,8-Bit,16MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",36,32KB (32K x 8),FLASH,256 x 8,2.25K x 8,1.8V ~ 5.5V,A/D 35x10b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",18-PDIP
PIC18F45K40-E/P-ND,PIC18F45K40-E/P,Microchip Technology,IC MCU 8BIT 32KB FLASH 40DIP,0,0,1.79221,0,380,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, LVD, POR, PWM, WDT",36,32KB (16K x 16),FLASH,256 x 8,2K x 8,2.3V ~ 5.5V,A/D 35x10b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",14-PDIP
PIC18F45K40-I/P-ND,PIC18F45K40-I/P,Microchip Technology,IC MCU 8BIT 32KB FLASH 40DIP,408,0,1.99,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, LVD, POR, PWM, WDT",36,32KB (16K x 16),FLASH,256 x 8,2K x 8,2.3V ~ 5.5V,A/D 35x10b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",14-PDIP
PIC18F27Q10-I/SP-ND,PIC18F27Q10-I/SP,Microchip Technology,128KB FLASH 3.6KB RAM 1024B EEPR,848,0,1.53,0,1,Tube,PIC® XLP™ 18Q,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, HLVD, POR, PWM, WDT",25,128KB (128K x 8),FLASH,1K x 8,3.53K x 8,1.8V ~ 5.5V,A/D 24x10b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18F27K42-E/SP-ND,PIC18F27K42-E/SP,Microchip Technology,IC MCU 8BIT 128KB FLASH 28SDIP,0,0,2.44,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,128KB (64K x 16),FLASH,1K x 8,8K x 8,2.3V ~ 5.5V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",14-PDIP
PIC18F27K42-I/SP-ND,PIC18F27K42-I/SP,Microchip Technology,IC MCU 8BIT 128KB FLASH 28SDIP,406,0,2.25,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,128KB (64K x 16),FLASH,1K x 8,8K x 8,2.3V ~ 5.5V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",14-PDIP
PIC18F26Q10-E/SP-ND,PIC18F26Q10-E/SP,Microchip Technology,64KB FLASH 3.6KB RAM 1024B EEPRO,900,0,1.45,0,1,Tube,PIC® XLP™ 18Q,Active,PIC,8-Bit,16MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,64KB (64K x 8),FLASH,1K x 8,3.53K x 8,1.8V ~ 5.5V,A/D 24x10b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18F26Q10-I/SP-ND,PIC18F26Q10-I/SP,Microchip Technology,64KB FLASH 3.6KB RAM 1024B EEPRO,985,0,1.38,0,1,Tube,PIC® XLP™ 18Q,Active,PIC,8-Bit,16MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,64KB (64K x 8),FLASH,1K x 8,3.53K x 8,1.8V ~ 5.5V,A/D 24x10b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
PIC18F26K83-E/SP-ND,PIC18F26K83-E/SP,Microchip Technology,IC MCU 8BIT 64KB FLASH 28SDIP,495,0,2.66,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"CANbus, I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, PWM, WDT",25,64KB (32K x 16),FLASH,1K x 8,4K x 8,2.3V ~ 5.5V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",20-PDIP
PIC18F26K83-I/SP-ND,PIC18F26K83-I/SP,Microchip Technology,IC MCU 8BIT 64KB FLASH 28SDIP,244,0,2.44,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"CANbus, I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, PWM, WDT",25,64KB (32K x 16),FLASH,1K x 8,4K x 8,2.3V ~ 5.5V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
PIC18F26K42-E/SP-ND,PIC18F26K42-E/SP,Microchip Technology,IC MCU 8BIT 64KB FLASH 28SDIP,653,0,2.22,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,64KB (32K x 16),FLASH,1K x 8,4K x 8,2.3V ~ 5.5V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18F26K42-I/SP-ND,PIC18F26K42-I/SP,Microchip Technology,IC MCU 8BIT 64KB FLASH 28SDIP,154,0,2.05,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,64KB (32K x 16),FLASH,1K x 8,4K x 8,2.3V ~ 5.5V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
PIC18F25K83-E/SP-ND,PIC18F25K83-E/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,645,0,2.51,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"CANbus, I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, PWM, WDT",25,32KB (16K x 16),FLASH,1K x 8,2K x 8,2.3V ~ 5.5V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",20-PDIP
PIC18F25K83-I/SP-ND,PIC18F25K83-I/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,548,0,2.31,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"CANbus, I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, PWM, WDT",25,32KB (16K x 16),FLASH,1K x 8,2K x 8,2.3V ~ 5.5V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18F25K50-E/SP-ND,PIC18F25K50-E/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,0,0,2.48232,0,285,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,48MHz,"I²C, SPI, UART/USART, USB","Brown-out Detect/Reset, POR, PWM, WDT",25,32KB (16K x 16),FLASH,256 x 8,2K x 8,2.3V ~ 5.5V,A/D 14x10b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
PIC18F25K50-I/SP-ND,PIC18F25K50-I/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,180,0,2.74,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,48MHz,"I²C, SPI, UART/USART, USB","Brown-out Detect/Reset, POR, PWM, WDT",25,32KB (16K x 16),FLASH,256 x 8,2K x 8,2.3V ~ 5.5V,A/D 14x10b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18F25K42-E/SP-ND,PIC18F25K42-E/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,0,0,1.74069,0,390,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,32KB (16K x 16),FLASH,256 x 8,2K x 8,2.3V ~ 5.5V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18F25K42-I/SP-ND,PIC18F25K42-I/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,113,0,1.93,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,32KB (16K x 16),FLASH,256 x 8,2K x 8,2.3V ~ 5.5V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",20-PDIP
PIC18F24K50-E/SP-ND,PIC18F24K50-E/SP,Microchip Technology,IC MCU 8BIT 16KB FLASH 28SDIP,0,0,2.3381,0,300,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,48MHz,"I²C, SPI, UART/USART, USB","Brown-out Detect/Reset, POR, PWM, WDT",25,16KB (8K x 16),FLASH,256 x 8,2K x 8,2.3V ~ 5.5V,A/D 14x10b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",20-PDIP
PIC18F24K50-I/SP-ND,PIC18F24K50-I/SP,Microchip Technology,IC MCU 8BIT 16KB FLASH 28SDIP,254,0,2.59,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,48MHz,"I²C, SPI, UART/USART, USB","Brown-out Detect/Reset, POR, PWM, WDT",25,16KB (8K x 16),FLASH,256 x 8,2K x 8,2.3V ~ 5.5V,A/D 14x10b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",20-PDIP
PIC16LF19176-E/P-ND,PIC16LF19176-E/P,Microchip Technology,IC MCU 8BIT 28KB FLASH 40DIP,668,0,2.39,0,1,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, LCD, POR, PWM, WDT",35,28KB (16K x 14),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 31x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",18-PDIP
PIC16LF19176-I/P-ND,PIC16LF19176-I/P,Microchip Technology,IC MCU 8BIT 28KB FLASH 40DIP,711,0,2.2,0,1,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, LCD, POR, PWM, WDT",35,28KB (16K x 14),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 31x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",18-PDIP
PIC16LF19175-E/P-ND,PIC16LF19175-E/P,Microchip Technology,IC MCU 8BIT 14KB FLASH 40DIP,718,0,2.27,0,1,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, LCD, POR, PWM, WDT",35,14KB (8K x 14),FLASH,256 x 8,1K x 8,1.8V ~ 3.6V,A/D 31x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",18-PDIP
PIC16LF19175-I/P-ND,PIC16LF19175-I/P,Microchip Technology,IC MCU 8BIT 14KB FLASH 40DIP,645,0,2.08,0,1,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, LCD, POR, PWM, WDT",35,14KB (8K x 14),FLASH,256 x 8,1K x 8,1.8V ~ 3.6V,A/D 31x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",28-SDIP
PIC16LF19156-E/SP-ND,PIC16LF19156-E/SP,Microchip Technology,IC MCU 8BIT 28KB FLASH 28SDIP,778,0,2.09,0,1,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, LCD, POR, PWM, WDT",24,28KB (16K x 14),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 20x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
PIC16LF19156-I/SP-ND,PIC16LF19156-I/SP,Microchip Technology,IC MCU 8BIT 28KB FLASH 28SDIP,837,0,1.93,0,1,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, LCD, POR, PWM, WDT",24,28KB (16K x 14),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 20x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",20-PDIP
PIC16LF19155-E/SP-ND,PIC16LF19155-E/SP,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SDIP,840,0,1.97,0,1,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, LCD, POR, PWM, WDT",24,14KB (8K x 14),FLASH,256 x 8,1K x 8,1.8V ~ 3.6V,A/D 20x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SDIP
PIC16LF19155-I/SP-ND,PIC16LF19155-I/SP,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SDIP,884,0,1.8,0,1,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, LCD, POR, PWM, WDT",24,14KB (8K x 14),FLASH,256 x 8,1K x 8,1.8V ~ 3.6V,A/D 20x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
PIC16LF18456-E/SP-ND,PIC16LF18456-E/SP,Microchip Technology,IC MCU 8BIT 28KB FLASH 28SDIP,0,0,1.59651,0,435,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",26,28KB (16K x 14),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SDIP
PIC16LF18456-I/SP-ND,PIC16LF18456-I/SP,Microchip Technology,IC MCU 8BIT 28KB FLASH 28SDIP,0,0,1.4626,0,465,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",26,28KB (16K x 14),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
PIC16LF18455-E/SP-ND,PIC16LF18455-E/SP,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SDIP,0,0,1.4832,0,465,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",26,14KB (8K x 14),FLASH,256 x 8,1K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC16LF18455-I/SP-ND,PIC16LF18455-I/SP,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SDIP,0,0,1.3699,0,495,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",26,14KB (8K x 14),FLASH,256 x 8,1K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC16LF18446-E/P-ND,PIC16LF18446-E/P,Microchip Technology,IC MCU 8BIT 28KB FLASH 14DIP,445,0,1.83,0,1,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",18,28KB (16K x 14),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 17x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"14-DIP (0.300"", 7.62mm)",28-SPDIP
PIC16LF18446-I/P-ND,PIC16LF18446-I/P,Microchip Technology,IC MCU 8BIT 28KB FLASH 14DIP,448,0,1.7,0,1,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",18,28KB (16K x 14),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 17x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"14-DIP (0.300"", 7.62mm)",18-PDIP
PIC16LF18445-E/P-ND,PIC16LF18445-E/P,Microchip Technology,IC MCU 8BIT 14KB FLASH 20DIP,966,0,1.72,0,1,Tube,PIC® XLP™ 16F,Active,PIC,8-Bit,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",17,14KB (8K x 14),FLASH,256 x 8,1K x 8,1.8V ~ 3.6V,A/D 17x12b; D/A 1x5b,External,-40°C ~ 125°C (TA),Through Hole,"20-DIP (0.300"", 7.62mm)",40-PDIP
